No.,References,CG (%),CS (%),CF (%),LL (%),PL (%),Type,E (kJ/m3),wopt (%),ρdmax (Mg/m3)
67,Lim and Miller (2004),0.0,3.0,97.0,34.0,21.0,CL,593,19.6,1.71
68,Lim and Miller (2004),0.0,4.0,96.0,33.0,18.0,CL,593,15.5,1.78
69,Lim and Miller (2004),0.0,24.0,76.0,40.0,15.0,CL,593,16.8,1.76
70,Lim and Miller (2004),0.0,33.0,67.0,41.0,15.0,CL,593,15.7,1.71
71,Othman and Benson (1993),0.0,15.0,85.0,34.0,18.0,CL,593,16.0,1.84
72,Othman and Benson (1993),0.0,1.0,99.0,42.0,23.0,CL,593,18.5,1.71
73,Wang et al. (2017),0.0,46.0,54.0,32.0,12.0,CL,593,13.7,1.82
74,Al-Khafaji (1993),0.0,19.0,81.0,27.0,21.0,CL-ML,593,17.0,1.78
75,Agus et al. (2010),0.0,50.0,50.0,130.0,33.0,CH,600,20.0,1.63
76,Agus et al. (2010),0.0,30.0,70.0,130.0,33.0,CH,600,28.0,1.44
77,Agus et al. (2010),0.0,30.0,70.0,130.0,33.0,CH,1000,26.8,1.50
78,Agus et al. (2010),0.0,0.0,100.0,130.0,33.0,CH,1000,37.0,1.28
79,Al-Khafaji (1993),0.0,3.0,97.0,52.0,25.0,CH,593,19.8,1.67
80,Al-Khafaji (1993),0.0,1.0,99.0,54.0,25.0,CH,593,22.3,1.58
81,Al-Khafaji (1993),0.0,1.0,99.0,64.0,27.0,CH,593,24.8,1.51
82,Al-Khafaji (1993),0.0,2.0,98.0,56.0,25.0,CH,593,23.3,1.56
83,Al-Khafaji (1993),0.0,2.0,98.0,66.0,27.0,CH,593,24.5,1.52
84,Al-Khafaji (1993),0.0,2.0,98.0,63.0,26.0,CH,593,24.3,1.52
85,Al-Khafaji (1993),0.0,2.0,98.0,50.0,23.0,CH,593,23.0,1.59
86,Al-Khafaji (1993),0.0,2.0,98.0,62.0,28.0,CH,593,25.5,1.52
87,Al-Khafaji (1993),0.0,2.0,98.0,64.0,29.0,CH,593,26.0,1.49
88,Al-Khafaji (1993),0.0,2.0,98.0,59.0,27.0,CH,593,24.5,1.57
89,Al-Khafaji (1993),0.0,2.0,98.0,51.0,22.0,CH,593,22.5,1.61
90,Al-Khafaji (1993),0.0,3.0,97.0,54.0,25.0,CH,593,23.0,1.59
91,Al-Khafaji (1993),0.0,1.0,99.0,54.0,22.0,CH,593,22.0,1.65
92,Burton et al. (2014),0.0,17.0,83.0,69.0,26.0,CH,593,24.8,1.50
93,Di Sante (2019),1.0,9.0,90.0,50.0,23.0,CH,593,21.0,1.63
94,Fox et al. (2014),7.0,30.2,62.8,56.0,29.0,CH,593,20.3,1.54
95,Fox et al. (2014),20.0,26.2,53.9,56.0,29.0,CH,593,19.0,1.66
96,Horpibulsuk et al. (2009),0.0,11.3,88.7,152.9,48.3,CH,593,32.6,1.34
97,Horpibulsuk et al. (2009),0.0,11.3,88.7,152.9,48.3,CH,1347,28.0,1.44
98,Horpibulsuk et al. (2009),0.0,44.3,55.7,63.5,32.7,CH,2693,20.3,1.65
99,Inci et al. (2003),0.0,2.0,98.0,81.0,26.0,CH,593,25.0,1.56
100,Ito and Komine (2008),0.0,0.0,100.0,490.0,29.0,CH,551,31.6,1.31
101,Ito and Komine (2008),0.0,0.0,100.0,593.0,37.0,CH,551,43.7,1.09
102,Ito and Komine (2008),0.0,0.0,100.0,608.0,37.9,CH,551,42.6,1.11
103,Ito and Komine (2008),0.0,30.0,70.0,490.0,29.0,CH,551,24.0,1.43
104,Ito and Komine (2008),0.0,30.0,70.0,436.0,26.4,CH,551,21.7,1.56
105,Ito and Komine (2008),0.0,30.0,70.0,315.0,25.7,CH,551,21.2,1.61
106,Ito and Komine (2008),0.0,30.0,70.0,593.0,37.0,CH,551,27.1,1.35
107,Ito and Komine (2008),0.0,30.0,70.0,608.0,37.9,CH,551,24.0,1.30
108,Ito and Komine (2008),0.0,50.0,50.0,490.0,29.0,CH,551,17.8,1.61
109,Ito and Komine (2008),0.0,50.0,50.0,436.0,26.4,CH,551,17.1,1.69
110,Ito and Komine (2008),0.0,50.0,50.0,315.0,25.7,CH,551,16.4,1.73
111,Ito and Komine (2008),0.0,50.0,50.0,593.0,37.0,CH,551,23.5,1.50
112,Ito and Komine (2008),0.0,50.0,50.0,608.0,37.9,CH,551,24.5,1.48
113,Ito and Komine (2008),0.0,0.0,100.0,490.0,29.0,CH,2755,24.0,1.52
114,Ito and Komine (2008),0.0,0.0,100.0,436.0,26.4,CH,2755,22.1,1.57
115,Ito and Komine (2008),0.0,0.0,100.0,315.0,25.7,CH,2755,23.0,1.54
116,Ito and Komine (2008),0.0,0.0,100.0,593.0,37.0,CH,2755,35.6,1.29
117,Ito and Komine (2008),0.0,0.0,100.0,608.0,37.9,CH,2755,31.0,1.30
118,Ito and Komine (2008),0.0,30.0,70.0,490.0,29.0,CH,2755,16.1,1.74
119,Ito and Komine (2008),0.0,30.0,70.0,436.0,26.4,CH,2755,16.0,1.76
120,Ito and Komine (2008),0.0,30.0,70.0,315.0,25.7,CH,2755,15.4,1.74
121,Ito and Komine (2008),0.0,30.0,70.0,593.0,37.0,CH,2755,18.6,1.60
122,Ito and Komine (2008),0.0,30.0,70.0,608.0,37.9,CH,2755,23.4,1.51
123,Ito and Komine (2008),0.0,50.0,50.0,490.0,29.0,CH,2755,14.8,1.84
124,Ito and Komine (2008),0.0,50.0,50.0,436.0,26.4,CH,2755,12.1,1.87
125,Ito and Komine (2008),0.0,50.0,50.0,315.0,25.7,CH,2755,13.5,1.86
126,Ito and Komine (2008),0.0,50.0,50.0,593.0,37.0,CH,2755,14.0,1.72
127,Ito and Komine (2008),0.0,50.0,50.0,608.0,37.9,CH,2755,17.6,1.69
128,Kiliç et al. (2016),0.2,8.8,91.0,84.6,32.3,CH,593,24.5,1.51
129,Lim and Miller (2004),0.0,3.0,97.0,51.0,19.0,CH,593,19.4,1.66
130,Lim and Miller (2004),0.0,8.0,92.0,52.0,18.0,CH,593,20.8,1.59
131,Lim and Miller (2004),0.0,13.0,87.0,53.0,19.0,CH,593,18.6,1.68
132,Lim and Miller (2004),0.0,5.0,95.0,70.0,27.0,CH,593,25.3,1.49
133,Sawangsuriya et al. (2009),0.5,3.1,96.4,85.0,33.0,CH,593,27.5,1.47
134,Shafiee (2008),0.0,0.0,100.0,69.0,31.0,CH,593,30.8,1.42
135,Günaydın (2009),3.5,36.5,60.0,53.0,29.8,MH,593,19.4,1.64
136,Shelley and Daniel (1993),0.0,0.0,100.0,54.0,31.0,MH,593,31.0,1.40
137,Vassallo et al. (2007),0.0,33.0,67.0,50.4,32.5,MH,593,23.1,1.59
138,Zhang et al. (2015),0.0,4.0,96.0,64.0,26.0,MH,593,26.0,1.43
139,Al-Khafaji (1993),0.0,10.0,90.0,35.0,20.0,ML,593,17.0,1.77
140,Clariá and Rinaldi (2007),0.0,2.0,98.0,25.2,21.8,ML,605,19.8,1.64
141,Günaydın (2009),6.4,34.6,59.0,47.9,28.9,ML,593,18.0,1.67
142,Günaydın (2009),1.8,24.2,74.0,49.4,28.4,ML,593,22.0,1.67
143,Li (2009),0.0,20.4,79.6,47.0,32.0,ML,595,21.0,1.55
144,Lim and Miller (2004),0.0,14.0,86.0,47.0,28.0,ML,593,22.0,1.62
145,Taïbi et al. (2008),0.0,70.0,30.0,38.4,25.0,ML,2693,15.6,1.85
146,Vega and McCartney (2015),0.0,16.1,83.9,25.0,21.0,ML,593,13.6,1.66
147,Agus et al. (2010),0.0,70.0,30.0,130.0,33.0,SC,600,16.0,1.78
148,Agus et al. (2010),0.0,70.0,30.0,130.0,33.0,SC,1000,14.0,1.85
149,Akcanca and Aytekin (2012),0.0,83.5,16.5,510.0,30.0,SC,593,16.1,1.65
150,Akcanca and Aytekin (2012),0.0,75.2,24.8,510.0,30.0,SC,593,17.0,1.62
151,Akcanca and Aytekin (2012),0.0,67.3,32.7,510.0,30.0,SC,593,18.0,1.60
152,Akcanca and Aytekin (2012),0.0,58.7,41.3,510.0,30.0,SC,593,19.0,1.59
153,Günaydın (2009),30.4,45.6,24.0,35.3,19.7,SC,593,13.1,1.90
154,Günaydın (2009),0.8,52.3,47.0,43.0,23.4,SC,593,17.5,1.76
155,Günaydın (2009),3.6,59.4,37.0,39.0,22.6,SC,593,16.0,1.88
156,Günaydın (2009),7.0,51.0,42.0,41.4,23.8,SC,593,16.7,1.81
157,Günaydın (2009),1.7,71.3,27.0,33.8,18.7,SC,593,13.7,1.95
158,Günaydın (2009),1.2,63.8,35.0,36.5,21.3,SC,593,13.5,1.96
159,Günaydın (2009),0.7,57.4,42.0,38.2,22.9,SC,593,16.2,1.84
160,Günaydın (2009),11.9,51.1,37.0,48.8,25.9,SC,593,17.9,1.70
161,Günaydın (2009),4.5,47.5,48.0,50.6,24.0,SC,593,18.4,1.66
162,Günaydın (2009),11.0,44.0,45.0,46.9,26.2,SC,593,16.2,1.81
163,Günaydın (2009),13.8,45.3,41.0,41.7,19.9,SC,593,15.8,1.83
164,Günaydın (2009),33.9,33.1,33.0,46.7,19.8,SC,593,13.3,1.85
165,Günaydın (2009),11.5,57.5,31.0,33.0,17.3,SC,593,14.6,2.03
166,Günaydın (2009),12.1,43.9,44.0,40.3,19.5,SC,593,16.2,1.89
167,Günaydın (2009),11.6,56.4,32.0,36.1,22.3,SC,593,18.0,1.81
168,Günaydın (2009),13.6,55.4,31.0,45.5,24.0,SC,593,18.2,1.74
169,Günaydın (2009),24.3,37.7,38.0,37.7,20.2,SC,593,16.1,1.82
170,Günaydın (2009),30.7,32.3,37.0,43.0,24.5,SC,593,17.4,1.74
171,Günaydın (2009),7.9,69.1,23.0,33.9,18.9,SC,593,14.8,1.83
172,Günaydın (2009),23.6,30.9,45.5,42.5,26.0,SC,593,17.8,1.72
173,Günaydın (2009),3.0,57.0,40.0,33.7,23.5,SC,593,13.8,1.86
174,Günaydın (2009),23.3,37.7,39.0,34.1,21.8,SC,593,14.3,1.85
175,Günaydın (2009),13.3,45.8,41.0,32.5,19.8,SC,593,13.2,1.89
176,Günaydın (2009),13.7,53.3,33.0,33.6,20.4,SC,593,12.5,1.88
177,Günaydın (2009),9.1,52.9,38.0,30.4,16.9,SC,593,10.9,1.97
178,Günaydın (2009),9.5,45.5,45.0,36.8,15.9,SC,593,14.6,1.84
179,Günaydın (2009),32.1,49.0,19.0,35.2,20.1,SC,593,12.4,1.93
180,Günaydın (2009),30.8,54.2,15.0,23.1,15.7,SC,593,9.3,2.02
181,Günaydın (2009),13.2,59.8,27.0,25.0,16.5,SC,593,10.7,2.02
182,Günaydın (2009),27.0,49.0,24.0,32.0,16.2,SC,593,10.0,2.04
183,Günaydın (2009),11.2,41.8,47.0,41.4,24.6,SC,593,15.6,1.79
184,Günaydın (2009),24.7,25.3,50.0,49.1,26.6,SC,593,20.4,1.69
185,Horpibulsuk et al. (2009),26.4,45.8,27.8,61.1,14.8,SC,296,14.1,1.81
186,Horpibulsuk et al. (2009),26.4,45.8,27.8,61.1,14.8,SC,593,12.8,1.87
187,Horpibulsuk et al. (2009),26.4,45.8,27.8,61.1,14.8,SC,1347,11.4,1.78
188,Horpibulsuk et al. (2009),26.4,45.8,27.8,61.1,14.8,SC,2693,10.1,1.99
189,Inci et al. (2003),0.0,56.0,44.0,16.0,9.0,SC,593,9.0,2.09
190,Jotisankasa and Taworn (2016),2.0,53.0,45.0,21.8,16.1,SC,593,11.8,1.89
191,Sawangsuriya et al. (2009),0.0,59.0,41.0,28.0,14.0,SC,593,13.5,1.89
192,Heitor et al. (2013),0.0,89.0,11.0,25.5,15.5,SP-SC,155,14.5,1.83
193,Heitor et al. (2013),0.0,89.0,11.0,25.5,15.5,SP-SC,243,13.5,1.88
194,Heitor et al. (2013),0.0,89.0,11.0,25.5,15.5,SP-SC,530,12.1,1.93
195,Horpibulsuk et al. (2009),7.6,83.6,8.8,31.2,19.3,SP-SC,296,12.3,1.89
196,Horpibulsuk et al. (2009),7.6,83.6,8.8,31.2,19.3,SP-SC,593,10.8,1.95
197,Horpibulsuk et al. (2009),7.6,83.6,8.8,31.2,19.3,SP-SC,1347,9.8,2.00
198,Horpibulsuk et al. (2009),7.6,83.6,8.8,31.2,19.3,SP-SC,2693,8.8,2.06
199,Horpibulsuk et al. (2009),13.1,77.3,9.6,30.4,18.8,SW-SC,593,9.8,2.01
200,Horpibulsuk et al. (2009),13.1,77.3,9.6,30.4,18.8,SW-SC,1347,8.4,2.08
201,Horpibulsuk et al. (2009),13.1,77.3,9.6,30.4,18.8,SW-SC,2693,7.3,2.14
202,Miller et al. (2002),0.0,56.0,44.0,16.0,9.0,SM,593,9.0,2.04
203,Fleureau et al. (2003),7.8,72.2,20.0,32.6,25.0,SM,2693,13.2,1.90
204,Miller et al. (2002),0.0,56.0,44.0,16.0,9.0,SM,296,10.8,2.01
205,Chen et al. (2019),63.2,11.8,25.0,24.0,11.0,GC,2693,5.9,2.33
206,Günaydın (2009),33.6,28.9,37.5,46.3,26.1,GC,593,14.8,1.81
207,Günaydın (2009),31.8,26.7,41.5,39.2,25.2,GC,593,18.2,1.70
208,Günaydın (2009),38.2,27.8,34.0,33.2,15.8,GC,593,12.9,1.89
209,Günaydın (2009),34.8,32.7,32.5,37.8,20.4,GC,593,14.9,1.77
210,Günaydın (2009),67.1,19.9,13.0,28.2,15.0,GC,593,7.6,2.09
211,Günaydın (2009),36.2,25.8,38.0,27.6,17.5,GC,593,12.2,1.92
212,Günaydın (2009),37.8,17.3,45.0,50.9,26.1,GC,593,19.4,1.67
213,Millogo et al. (2012),56.5,33.2,10.3,22.5,12.0,GC,2693,6.6,2.17
214,Horpibulsuk et al. (2009),46.8,31.9,21.4,63.2,13.4,GC,296,12.3,1.86
215,Horpibulsuk et al. (2009),46.8,31.9,21.4,63.2,13.4,GC,593,11.4,1.90
216,Horpibulsuk et al. (2009),46.8,31.9,21.4,63.2,13.4,GC,2693,9.1,2.01
217,Horpibulsuk et al. (2009),48.7,41.9,9.4,37.8,14.7,GP-GC,296,9.2,2.06
218,Horpibulsuk et al. (2009),48.7,41.9,9.4,37.8,14.7,GP-GC,593,8.4,2.10
219,Horpibulsuk et al. (2009),48.7,41.9,9.4,37.8,14.7,GP-GC,1347,7.9,2.14
220,Horpibulsuk et al. (2009),48.7,41.9,9.4,37.8,14.7,GP-GC,2693,6.8,2.20
221,Horpibulsuk et al. (2009),47.1,44.3,8.6,29.5,14.1,GW-GC,296,7.5,2.16
222,Horpibulsuk et al. (2009),47.1,44.3,8.6,29.5,14.1,GW-GC,593,7.0,2.19
223,Horpibulsuk et al. (2009),47.1,44.3,8.6,29.5,14.1,GW-GC,1347,6.2,2.25
224,Horpibulsuk et al. (2009),47.1,44.3,8.6,29.5,14.1,GW-GC,2693,5.3,2.31
225,Günaydın (2009),31.4,28.6,40.0,40.2,26.0,GM,593,13.9,1.79
226,Günaydın (2009),31.3,28.7,40.0,40.2,26.0,GM,593,13.9,1.79
